No. overall,No. in season,Title,Directed by,Prod. code,U.S. viewers (millions),Season,Release_Date,Writer_1,Writer_2
1,1,"""Pilot"" ""The One Where Monica Gets a Roommate""",James Burrows,475085,21.5,1,1994-09-22,Marta Kauffman,David Crane
2,2,"""The One with the Sonogram at the End""",James Burrows,456652,20.2,1,1994-09-29,Marta Kauffman,David Crane
3,3,"""The One with the Thumb""",James Burrows,456651,19.5,1,1994-10-06,Jeffrey Astrof,Mike Sikowitz
4,4,"""The One with George Stephanopoulos""",James Burrows,456654,19.7,1,1994-10-13,Alexa Junge,
5,5,"""The One with the East German Laundry Detergent""",Pamela Fryman,456653,18.6,1,1994-10-20,Jeff Greenstein,Jeff Strauss
6,6,"""The One with the Butt""",Arlene Sanford,456655,18.2,1,1994-10-27,Adam Chase,Ira Ungerleider
7,7,"""The One with the Blackout""",James Burrows,456656,23.5,1,1994-11-03,Jeffrey Astrof,Mike Sikowitz
8,8,"""The One Where Nana Dies Twice""",James Burrows,456657,21.1,1,1994-11-10,Marta Kauffman,David Crane
9,9,"""The One Where Underdog Gets Away""",James Burrows,456659,23.1,1,1994-11-17,Jeff Greenstein,Jeff Strauss
10,10,"""The One with the Monkey""",Peter Bonerz,456661,19.9,1,1994-12-15,Adam Chase,Ira Ungerleider
11,11,"""The One with Mrs. Bing""",James Burrows,456660,26.6,1,1995-01-05,Alexa Junge,
12,12,"""The One with The Dozen Lasagnas""",Paul Lazarus,456658,24.0,1,1995-01-12,Jeffrey Astrof,Mike Sikowitz
13,13,"""The One with the Boobies""",Alan Myerson,456664,25.8,1,1995-01-19,Alexa Junge,
14,14,"""The One with the Candy Hearts""",James Burrows,456667,23.8,1,1995-02-09,Bill Lawrence,
15,15,"""The One with the Stoned Guy""",Alan Myerson,456663,24.8,1,1995-02-16,Jeff Greenstein,Jeff Strauss
16,16,"""The One with Two Parts""",Michael Lembeck,456665,26.1,1,1995-02-23,Marta Kauffman,David Crane
17,17,"""The One with Two Parts""",Michael Lembeck,456666,26.1,1,1995-02-23,Marta Kauffman,David Crane
18,18,"""The One with All the Poker""",James Burrows,456662,30.4,1,1995-03-02,Jeffrey Astrof,Mike Sikowitz
19,19,"""The One Where the Monkey Gets Away""",Peter Bonerz,456668,29.4,1,1995-03-09,Jeffrey Astrof,Mike Sikowitz
20,20,"""The One with the Evil Orthodontist""",Peter Bonerz,456669,30.0,1,1995-04-06,Doty Abrams,
21,21,"""The One with the Fake Monica""",Gail Mancuso,456671,28.4,1,1995-04-27,Adam Chase,Ira Ungerleider
22,22,"""The One with the Ick Factor""",Robby Benson,456670,29.9,1,1995-05-04,Alexa Junge,
23,23,"""The One with the Birth""",James Burrows,456672,28.7,1,1995-05-11,David Crane,Marta Kauffman
